label,accession,type,start,end,notes
6w02,6,6,6,6,6
6w37,2,2,2,2,2
6w4b,2,2,2,2,2
6w4h,8,8,8,8,8
6w61,8,8,8,8,8
6w63,4,4,4,4,4
6w6y,4,4,4,4,4
6w75,8,8,8,8,8
6w9c,8,8,8,8,8
6w9q,2,2,2,2,2
6wc1,4,4,4,4,4
6wcf,6,6,6,6,6
6wen,4,4,4,4,4
6wey,2,2,2,2,2
6wiq,8,8,8,8,8
6wji,1,1,1,1,1
6wjt,8,8,8,8,8
6wkp,4,4,4,4,4
6wkq,8,8,8,8,8
6wks,8,8,8,8,8
6wlc,2,2,2,2,2
6wnp,2,2,2,2,2
6woj,6,6,6,6,6
6wps,3,3,3,3,3
6wpt,3,3,3,3,3
6wq3,12,12,12,12,12
6wqd,8,8,8,8,8
6wqf,2,2,2,2,2
6wrh,3,3,3,3,3
6wrz,12,12,12,12,12
6wtc,10,10,10,10,10
6wtj,2,2,2,2,2
6wtk,2,2,2,2,2
6wtm,2,2,2,2,2
6wtt,4,4,4,4,4
6wuu,3,3,3,3,3
6wvn,8,8,8,8,8
6wx4,5,5,5,5,5
6wxc,2,2,2,2,2
6wxd,2,2,2,2,2
6wzo,2,2,2,2,2
6wzq,2,2,2,2,2
6wzu,2,2,2,2,2
6x1b,2,2,2,2,2
6x29,3,3,3,3,3
6x2a,3,3,3,3,3
6x2b,3,3,3,3,3
6x2c,3,3,3,3,3
6x4i,2,2,2,2,2
6x6p,3,3,3,3,3
6x79,3,3,3,3,3
6xa4,6,6,6,6,6
6xa9,6,6,6,6,6
6xaa,6,6,6,6,6
6xb0,4,4,4,4,4
6xb1,4,4,4,4,4
6xb2,2,2,2,2,2
6xbg,6,6,6,6,6
6xbh,6,6,6,6,6
6xbi,2,2,2,2,2
6xch,2,2,2,2,2
6xcm,3,3,3,3,3
6xcn,3,3,3,3,3
6xdc,5,5,5,5,5
6xdh,2,2,2,2,2
6xey,3,3,3,3,3
6xez,19,19,19,19,19
6xf5,3,3,3,3,3
6xf6,3,3,3,3,3
6xfn,6,6,6,6,6
6xg3,7,7,7,7,7
6xhm,4,4,4,4,4
6xhu,2,2,2,2,2
6xip,10,10,10,10,10
6xkf,4,4,4,4,4
6xkh,4,4,4,4,4
6xkl,3,3,3,3,3
6xkm,8,8,8,8,8
6xlu,1,1,1,1,1
6xm0,1,1,1,1,1
6xm3,1,1,1,1,1
6xm4,1,1,1,1,1
6xm5,1,1,1,1,1
6xmk,4,4,4,4,4
6xoa,3,3,3,3,3
6xqb,36,36,36,36,36
6xqs,2,2,2,2,2
6xqt,2,2,2,2,2
6xqu,2,2,2,2,2
6xr3,4,4,4,4,4
6xr8,1,1,1,1,1
6xra,4,4,4,4,4
6xs6,3,3,3,3,3
6y2e,2,2,2,2,2
6y2f,8,8,8,8,8
6y2g,4,4,4,4,4
6y84,4,4,4,4,4
6yb7,2,2,2,2,2
6yhu,4,4,4,4,4
6yi3,1,1,1,1,1
6ynq,2,2,2,2,2
6yun,1,1,1,1,1
6yva,13,13,13,13,13
6yvf,2,2,2,2,2
6ywk,2,2,2,2,2
6ywl,2,2,2,2,2
6ywm,2,2,2,2,2
6yyt,24,24,24,24,24
6yz1,13,13,13,13,13
6z2e,2,2,2,2,2
6z43,3,3,3,3,3
6z4u,3,3,3,3,3
6z5t,2,2,2,2,2
6z6i,2,2,2,2,2
6z72,2,2,2,2,2
6z97,3,3,3,3,3
6zb4,3,3,3,3,3
6zb5,7,7,7,7,7
6zco,1,1,1,1,1
6zct,2,2,2,2,2
6zdh,3,3,3,3,3
6zge,3,3,3,3,3
6zgg,5,5,5,5,5
6zgh,5,5,5,5,5
6zgi,3,3,3,3,3
6zhd,3,3,3,3,3
6zlw,4,4,4,4,4
6zm7,4,4,4,4,4
6zme,4,4,4,4,4
6zmi,4,4,4,4,4
6zmo,4,4,4,4,4
6zmt,4,4,4,4,4
6zn5,4,4,4,4,4
6zoj,4,4,4,4,4
6zok,4,4,4,4,4
6zon,4,4,4,4,4
6zow,3,3,3,3,3
6zox,3,3,3,3,3
6zoy,3,3,3,3,3
6zoz,1,1,1,1,1
6zp0,3,3,3,3,3
6zp1,3,3,3,3,3
6zp2,1,1,1,1,1
6zp4,4,4,4,4,4
6zp5,3,3,3,3,3
6zp7,3,3,3,3,3
6zpe,4,4,4,4,4
6zrt,4,4,4,4,4
6zru,4,4,4,4,4
6zsl,14,14,14,14,14
6zwv,3,3,3,3,3
6zxn,3,3,3,3,3
7a1u,4,4,4,4,4
7a25,2,2,2,2,2
7a29,3,3,3,3,3
7a4n,3,3,3,3,3
7a93,5,5,5,5,5
7a94,5,5,5,5,5
7a95,5,5,5,5,5
7a96,5,5,5,5,5
7a97,5,5,5,5,5
7a98,5,5,5,5,5
7aap,22,22,22,22,22
7abu,2,2,2,2,2
7acs,1,1,1,1,1
7act,1,1,1,1,1
7ad1,3,3,3,3,3
7adw,4,4,4,4,4
7aeg,2,2,2,2,2
7af0,2,2,2,2,2
7aga,4,4,4,4,4
7aha,4,4,4,4,4
7ak4,2,2,2,2,2
7akd,3,3,3,3,3
7aku,4,4,4,4,4
7alh,4,4,4,4,4
7ali,2,2,2,2,2
7amj,4,4,4,4,4
7ans,2,2,2,2,2
7aol,3,3,3,3,3
7ap6,2,2,2,2,2
7aph,2,2,2,2,2
7aqe,2,2,2,2,2
7aqi,2,2,2,2,2
7aqj,4,4,4,4,4
7ar5,6,6,6,6,6
7ar6,4,4,4,4,4
7arf,6,6,6,6,6
7avd,2,2,2,2,2
7awr,2,2,2,2,2
7aws,4,4,4,4,4
7awu,4,4,4,4,4
7aww,2,2,2,2,2
7ax6,2,2,2,2,2
7axm,2,2,2,2,2
7axo,2,2,2,2,2
7ay7,2,2,2,2,2
7b18,3,3,3,3,3
7b3b,28,28,28,28,28
7b3c,28,28,28,28,28
7b3d,28,28,28,28,28
7b3e,4,4,4,4,4
7b83,3,3,3,3,3
7baj,2,2,2,2,2
7bak,4,4,4,4,4
7bal,4,4,4,4,4
7bb2,2,2,2,2,2
7be7,4,4,4,4,4
7bf3,2,2,2,2,2
7bf4,4,4,4,4,4
7bf5,2,2,2,2,2
7bf6,2,2,2,2,2
7bfb,4,4,4,4,4
7bgp,4,4,4,4,4
7bnm,4,4,4,4,4
7bnn,7,7,7,7,7
7bno,4,4,4,4,4
7bq7,10,10,10,10,10
7bqy,4,4,4,4,4
7bro,6,6,6,6,6
7brp,4,4,4,4,4
7btf,18,18,18,18,18
7buy,2,2,2,2,2
7bv1,30,30,30,30,30
7bv2,28,28,28,28,28
7bw4,24,24,24,24,24
7byr,3,3,3,3,3
7bzf,18,18,18,18,18
7c22,2,2,2,2,2
7c2i,8,8,8,8,8
7c2j,8,8,8,8,8
7c2k,18,18,18,18,18
7c2l,3,3,3,3,3
7c2q,14,14,14,14,14
7c2y,14,14,14,14,14
7c33,6,6,6,6,6
7c53,3,3,3,3,3
7c6s,4,4,4,4,4
7c6u,4,4,4,4,4
7c7p,4,4,4,4,4
7c8b,4,4,4,4,4
7c8r,6,6,6,6,6
7c8t,10,10,10,10,10
7c8u,6,6,6,6,6
7ca8,4,4,4,4,4
7cab,3,3,3,3,3
7cac,3,3,3,3,3
7cai,3,3,3,3,3
7cak,3,3,3,3,3
7cam,6,6,6,6,6
7cb7,4,4,4,4,4
7cbt,6,6,6,6,6
7cdz,2,2,2,2,2
7ce0,1,1,1,1,1
7chh,3,3,3,3,3
7ci3,2,2,2,2,2
7cjd,5,5,5,5,5
7cjm,3,3,3,3,3
7cmd,8,8,8,8,8
7cn4,1,1,1,1,1
7cn9,2,2,2,2,2
7com,4,4,4,4,4
7cot,9,9,9,9,9
7cr5,3,3,3,3,3
7ct5,5,5,5,5,5
7ctt,30,30,30,30,30
7cut,4,4,4,4,4
7cuu,2,2,2,2,2
7cwb,2,2,2,2,2
7cwc,4,4,4,4,4
7cwl,3,3,3,3,3
7cwm,3,3,3,3,3
7cwn,3,3,3,3,3
7cws,2,2,2,2,2
7cwt,2,2,2,2,2
7cwu,3,3,3,3,3
7cx9,8,8,8,8,8
7cxm,23,23,23,23,23
7cxn,23,23,23,23,23
7cyp,3,3,3,3,3
7cyq,32,32,32,32,32
7cz4,4,4,4,4,4
7czp,5,5,5,5,5
7czq,5,5,5,5,5
7czr,5,5,5,5,5
7czs,5,5,5,5,5
7czt,5,5,5,5,5
7czu,5,5,5,5,5
7czv,5,5,5,5,5
